品类,中文,参照产品,族内序号,一致度,另一票,任务名,判据,形态族,记录/来源,原文点名,行业,custom_id,我的判断
ticket-tracker,工单与缺陷跟踪,Jira / Zendesk,1,2/2,,画中画视频服务配置收敛,请求状态轮询似工单,工单/缺陷/客服/审批跟踪,视频生成请求/任务,,视频生成服务,cn-all-remaining-0570-aca01108,
ticket-tracker,工单与缺陷跟踪,Jira / Zendesk,2,2/2,,工单分析表结构与查询索引落地,工单字段结构本体,工单/缺陷/客服/审批跟踪,工单/工作项记录,,企业工单系统,cn-all-remaining-0572-5e9cacdd,
ticket-tracker,工单与缺陷跟踪,Jira / Zendesk,3,2/2,,工单投影查询语义与索引清理,工单查询排序索引,工单/缺陷/客服/审批跟踪,工单,,后端数据服务,cn-all-remaining-0578-e86fdf1b,建站反馈：输入是 records.json/rules.json 夹具，任务本身即契约校验；做成界面会把题毁掉，无站可建，disposition: file
ticket-tracker,工单与缺陷跟踪,Jira / Zendesk,4,2/2,,衡云费控移动端差旅报销关键流程体验整改,客服工单+漏斗，工单类最贴,工单/缺陷/客服/审批跟踪,客服工单与会话漏斗记录,,设计、文创与媒体、用户体验设计师,cn-all-remaining-0682-ffc004ef,
ticket-tracker,工单与缺陷跟踪,Jira / Zendesk,5,2/2,,版本封板前的战斗系统自动化回归,用例缺陷聚类严重等级通过率,工单/缺陷/客服/审批跟踪,游戏战斗自动化测试/结算后台,,    游戏与互动内容、游戏自动,cn-all-remaining-0326-9882d4ca,
ticket-tracker,工单与缺陷跟踪,Jira / Zendesk,6,2/3,ml-experiment-tracking,多渠道客服意图路由模型灰度上线准入复核与人工兜底策略评审,客服会话路由记录,工单/缺陷/客服/审批跟踪,客服工单/会话记录,,数据科学、AI算法科学家,cn-all-remaining-1123-2b49c9e3,
ticket-tracker,工单与缺陷跟踪,Jira / Zendesk,7,3/3,,游戏工程自动化回归测试用例梳理,缺陷工单列表,工单/缺陷/客服/审批跟踪,手工测试缺陷工单,,    游戏自动化测试工程师,cn-all-remaining-0223-6433ad04,
ticket-tracker,工单与缺陷跟踪,Jira / Zendesk,8,3/3,,方案联审列表状态与年份排序,状态优先级+排序的工单式列表,工单/缺陷/客服/审批跟踪,方案联审记录,,项目流程管理,cn-all-remaining-0495-5d0e7157,
ticket-tracker,工单与缺陷跟踪,Jira / Zendesk,9,3/3,,工单查询语句与索引收紧：检索分页与越界诊断,工单查询记录,工单/缺陷/客服/审批跟踪,工单查询结果记录,,后端服务,cn-all-remaining-0618-a217bf7e,建站反馈：输入是 records.json/rules.json 夹具，任务本身即契约校验；做成界面会把题毁掉，无站可建，disposition: file
ticket-tracker,工单与缺陷跟踪,Jira / Zendesk,10,3/3,,手游战斗结算规则回归、缺陷定位与自动化发布门槛核验    ,用例缺陷严重度跟踪,工单/缺陷/客服/审批跟踪,手游战斗数值/自动化测试配置后台,,游戏与互动内容、战斗系统测试,cn-all-remaining-0271-7788ccc0,
document-library,文档库与版本管理,SharePoint / 语雀,1,1/3,audit-findings / clinical-trial-edc,中国区多中心启动周会对账、风险分层与跟进闭环,eTMF文档+版本历史,可检索档案库+详情页,中心启动/eTMF文件记录,,医疗卫生、项目助理,cn-all-remaining-0709-411a7a8e,
document-library,文档库与版本管理,SharePoint / 语雀,2,2/2,,文档库列表补充文件大小与上传提示,文档列表文件属性,可检索档案库+详情页,文档库文件条目,,企业知识库前端,cn-all-remaining-0576-f1a9f22f,
document-library,文档库与版本管理,SharePoint / 语雀,3,2/2,,文档库上传弹窗重构：路由与权限接通核验,文档上传交互,可检索档案库+详情页,文档库文档条目,,前端工程,cn-all-remaining-0591-34a6f98a,建站反馈：输入是 records.json/rules.json 夹具，任务本身即契约校验；做成界面会把题毁掉，无站可建，disposition: file
document-library,文档库与版本管理,SharePoint / 语雀,4,2/2,,知识检索结果下钻与回答证据联动：文档证据排序与截取,检索文档证据列表,可检索档案库+详情页,知识检索文档证据,,知识应用,cn-all-remaining-0608-a7575ce7,建站反馈：输入是 records.json/rules.json 夹具，任务本身即契约校验；做成界面会把题毁掉，无站可建，disposition: file
document-library,文档库与版本管理,SharePoint / 语雀,5,2/3,dataset-repository,大都会艺术博物馆藏品与 Getty AAT 权威词迁移审计,藏品图文+元数据+版本迁移,可检索档案库+详情页,博物馆藏品对象记录,Metropolitan Museum of Art,博物馆信息学 / 藏品数据工程 ,cn-all-remaining-1193-f47eaab5,
document-library,文档库与版本管理,SharePoint / 语雀,6,3/3,,报告文件下载链路说明与模拟验证,报告文件下载状态与版本,可检索档案库+详情页,报告下载请求记录,,企业文件服务,cn-all-remaining-0518-b6641c0c,
document-library,文档库与版本管理,SharePoint / 语雀,7,3/3,,构建美国国会图书馆中文 MARC 多语种权威与系谱迁移审计产品,书目库版本关联,可检索档案库+详情页,中文MARC书目记录,Library of Congress,数据科学,cn-all-remaining-1097-96b36b44,
document-library,文档库与版本管理,SharePoint / 语雀,8,3/3,,跨机构 IIIF 文化遗产清单互操作与迁移治理审计,manifest树+元数据+预览,可检索档案库+详情页,机构IIIF文化遗产manifest记录,Smithsonian Institution,数字文化遗产 / IIIF 开放,cn-all-remaining-1253-671145bb,
document-library,文档库与版本管理,SharePoint / 语雀,9,人工改判,dataset-repository,构建 NGA / Wikidata 藏品构成者权威、时间与多角色调和审计,开放数据集变量表,可检索档案库+详情页,NGA Open Data (GitHub) / Wikidata,National Gallery of Art (NGA) Open Data,文化遗产数据 / 博物馆权威控制,cn-all-remaining-1174-a98c2f1e,dataset-repository→document-library：NGA/Wikidata 藏品权威记录
omics-repository,组学与生物数据仓库,NCBI GEO / ENA,1,2/2,,immune inflitration,TCGA样本层级检索,数据集/资料仓库详情页,TCGA/GDC Data Portal,The Cancer Genome Atlas,SCI科研绘图immune in,cn-all-remaining-0297-075420d6,
omics-repository,组学与生物数据仓库,NCBI GEO / ENA,2,2/3,regulatory-registry,长 QT 综合征候选变异的群体频率证据评估,变异频率基因库结构,可检索档案库+详情页,变异等位基因频率记录,,临床遗传学,cn-all-remaining-0356-d600f1dc,
omics-repository,组学与生物数据仓库,NCBI GEO / ENA,3,2/3,dataset-repository,SWC 神经元形态重建与多指标量化分析,"神经元重建库,类生物库",可检索档案库+详情页,NeuroMorpho.Org神经元形态重建条目,NeuroMorpho.Org,神经科学 · 计算神经科学（神经,cn-all-remaining-1286-57ed5e7e,
omics-repository,组学与生物数据仓库,NCBI GEO / ENA,4,3/3,,NHTSA FARS tri-state crash-vehicle-person denominator reconciliation,crash-vehicle-person三级层级,主体档案+关联事件时间线,车祸/车辆/人员记录,NHTSA Fatality Analysis Reporting System (FARS),Road safety and ,cn-all-remaining-1219-f163b46b,
omics-repository,组学与生物数据仓库,NCBI GEO / ENA,5,3/3,,NCBI SRA 与 ENA 测序研究、样本及运行元数据治理审计,研究/样本/运行三级检索,批次-样品-检验/QC记录(LIMS/MES),SRA/ENA测序运行元数据记录,National Center for Biotechnology Information (NCBI),科研数据治理 / INSDC 测,cn-all-remaining-1252-1e0765a9,
omics-repository,组学与生物数据仓库,NCBI GEO / ENA,6,3/3,,FlyWire-Hemibrain 连接组数据交叉对齐,连接组神经元三级元数据,可检索档案库+详情页,神经元注释/匹配记录,FlyWire,神经科学 · 连接组学 / 生物,cn-all-remaining-1284-b217705c,
omics-repository,组学与生物数据仓库,NCBI GEO / ENA,7,3/3,,(untitled),GEO单细胞组学数据,数据集/资料仓库详情页,NCBI GEO,GSE242889,生物信息学,cn-all-remaining-0206-ba9d1d88,
omics-repository,组学与生物数据仓库,NCBI GEO / ENA,8,3/3,,GSE52778 配对 RNA-seq 质控、差异表达与可复现结果审计,GEO样本三级检索,数据集/资料仓库详情页,NCBI GEO,GSE52778,科学类、生物信息学工程师,cn-all-remaining-0894-d2a9c435,
omics-repository,组学与生物数据仓库,NCBI GEO / ENA,9,人工改判,dataset-repository,基于连接组数据生成 Neuroglancer 复杂可视化状态文件,神经元数据集详情页,可检索档案库+详情页,FlyWire神经元(ID/细胞类型/坐标)记录,FlyWire,计算神经科学,cn-all-remaining-0249-07d18b19,dataset-repository→omics-repository：FlyWire 连接组
,（无匹配）,,1,2/2,,多云身份权限漂移、攻击路径与零信任发布准入评估,IAM/CIEM无对应品类,设备/资产台账+维护记录,IAM绑定/资源清单/审计事件,,信息技术与AI—信息安全测试员,cn-all-remaining-0697-38acd0ca,
,（无匹配）,,2,2/2,,桑基图+气泡图展示富集分析结果,纯画图无检索列表详情结构,,DAVID/Metascape/KOBAS等基因功能富集分析网站,,生物信息学,cn-all-remaining-0333-8f712f0a,
,（无匹配）,,3,2/3,salary-benchmark,IPO 可比公司筛选与估值定价,无匹配财务对比库品类,可检索档案库+详情页,上市公司财务与业务标签记录,中创新航 (CALB),证券投资,cn-all-remaining-0379-fa0f25f9,
,（无匹配）,,4,2/3,back-office-ledger,城市文化项目深度稿编校与多平台发布包,运营CMS无匹配类目,,报名签到CMS+公众号后台类系统,,设计、文创与媒体、新媒体编辑,cn-all-remaining-0684-33435d87,
,（无匹配）,,5,2/3,apm-observability,星屿商城移动端换货流程诊断、高保真改版与可用性验证设计,产品分析平台无匹配类目,其他,神策数据/Amplitude类产品分析平台,,设计、文创与媒体、用户体验设计师,cn-all-remaining-0790-ca61bdb0,
,（无匹配）,,6,3/3,,食品饮料行业月度研判、公司估值与投资观点输出任务,"上市公司财务估值,无对应品类",主体档案+关联事件时间线,上市公司财务与股价数据记录,,证券投资研究、二级市场行业分析,cn-all-remaining-0007-05d253cc,
,（无匹配）,,7,3/3,,中国微水洗澡机行业研究与商业化方案,行业研报无结构化站点,,艾瑞咨询/头豹研究院等行业报告库及电商评价平台,,行业研究,cn-all-remaining-0114-a85885be,
,（无匹配）,,8,3/3,,L03旧水厂M1测试复盘与M2灰盒调优,关卡节点配置无类目匹配,,游戏关卡评审/数值配置后台,,游戏研发、关卡策划,cn-all-remaining-0713-394ca2bb,
,（无匹配）,,9,3/3,,工业自动化公司三季报跟踪、盈利预测更新与估值复核,金融终端无对应品类,,Wind/东方财富Choice类金融数据终端,,行业研究、证券投资专业人员,cn-all-remaining-0869-a86563df,
salary-benchmark,薪酬与人才行情库,Levels.fyi / 职友集,1,人工改判,dataset-repository,构建 O*NET 注册学徒制职业阶梯、技能连续性和 OOH 终点对账产品,职业属性库+详情,可检索档案库+详情页,O*NET 数据库,O*NET,劳动力分类 / 注册学徒制 / ,cn-all-remaining-1147-7c690611,dataset-repository→salary-benchmark：O*NET/BLS OOH 职业薪酬层级
salary-benchmark,薪酬与人才行情库,Levels.fyi / 职友集,2,人工改判,gov-statistics-portal,美国航空航天工程师人才市场、薪酬与能力结构研究（2024-2034）,BLS官方统计口径,单表统计/观测数据下载门户,BLS职业统计指标记录,Bureau of Labor Statistics Occupational Outlook Handbook (OOH),行业研究、航空航天工程师,cn-all-remaining-0692-1233fccb,gov-statistics-portal→salary-benchmark：BLS OEWS/OOH + O*NET 职业薪酬行情
salary-benchmark,薪酬与人才行情库,Levels.fyi / 职友集,3,人工改判,gov-statistics-portal,美国石油工程师就业、薪酬与技能结构行业研究,BLS OEWS统计数据,单表统计/观测数据下载门户,BLS OEWS职业统计记录,Bureau of Labor Statistics (BLS),行业研究、能源工程人才市场,cn-all-remaining-0693-64f8726a,gov-statistics-portal→salary-benchmark：BLS OEWS/OOH + O*NET 职业薪酬行情
salary-benchmark,薪酬与人才行情库,Levels.fyi / 职友集,4,人工改判,gov-statistics-portal,美国平面设计师薪酬市场与技能需求研究（加州—得州）,OEWS指标地区年份出表,单表统计/观测数据下载门户,地区薪酬统计行(OEWS),,    设计、文创与媒体    ,cn-all-remaining-0853-2e697bcb,gov-statistics-portal→salary-benchmark：BLS OEWS/OOH + O*NET 职业薪酬行情
salary-benchmark,薪酬与人才行情库,Levels.fyi / 职友集,5,人工改判,gov-statistics-portal,美国平面设计师职业市场与AI转型研究,BLS职业统计查询,单表统计/观测数据下载门户,职业统计条目(BLS/O*NET/WEF),Bureau of Labor Statistics (BLS),商业类、行业研究分析师（创意服务,cn-all-remaining-0674-84436791,gov-statistics-portal→salary-benchmark：BLS OEWS/OOH + O*NET 职业薪酬行情
salary-benchmark,薪酬与人才行情库,Levels.fyi / 职友集,6,人工改判,gov-statistics-portal,美国平面设计师用工市场、薪酬与技能结构研究,BLS官方统计查询导出,单表统计/观测数据下载门户,职业地区/行业薪资统计记录,Bureau of Labor Statistics Occupational Outlook Handbook (OOH),商业类、行业研究分析师,cn-all-remaining-0723-215c4ee4,gov-statistics-portal→salary-benchmark：BLS OEWS/OOH + O*NET 职业薪酬行情
salary-benchmark,薪酬与人才行情库,Levels.fyi / 职友集,7,人工改判,gov-statistics-portal,美国机械工程师用工市场、薪酬与产业分布研究,BLS官方统计查询导出,单表统计/观测数据下载门户,职业地区/行业薪资统计记录,Bureau of Labor Statistics Occupational Employment and Wage Statistics (OEWS),商业类、行业研究分析师,cn-all-remaining-0724-5140b215,gov-statistics-portal→salary-benchmark：BLS OEWS/OOH + O*NET 职业薪酬行情
salary-benchmark,薪酬与人才行情库,Levels.fyi / 职友集,8,人工改判,gov-statistics-portal,美国微生物学家人才市场与岗位能力基准研究,BLS官方统计查询导出,单表统计/观测数据下载门户,职业就业/薪资/预测统计记录,Bureau of Labor Statistics (BLS),商业和金融类、市场调查分析师（行,cn-all-remaining-0729-3456fff7,gov-statistics-portal→salary-benchmark：BLS OEWS/OOH + O*NET 职业薪酬行情
apm-observability,服务指标与日志可观测,Datadog / Grafana,1,2/2,,企业云身份入侵多源日志时间线重建、会话归因与控制有效性复核,多源日志告警事件,时序监测点/日志事件记录,多源系统安全事件/告警日志,,信息技术与AI、信息安全测试员,cn-all-remaining-0431-139098e2,
apm-observability,服务指标与日志可观测,Datadog / Grafana,2,2/2,,服务器列表起始端口异步展示：缓存与源值一致性核验,服务器主机列表监控,设备/资产台账+维护记录,服务器列表(含起始端口列),,运维平台,cn-all-remaining-0616-04e64d59,建站反馈：输入是 records.json/rules.json 夹具，任务本身即契约校验；做成界面会把题毁掉，无站可建，disposition: file
apm-observability,服务指标与日志可观测,Datadog / Grafana,3,3/3,,机房运维多变量时序异常检测管道,"主机指标面板+告警,原文点名",时序监测点/日志事件记录,服务器运维指标时序(按机器),Server Machine Dataset (SMD),ML-Ops 与可观测性,cn-all-remaining-0063-4a16f58b,
apm-observability,服务指标与日志可观测,Datadog / Grafana,4,3/3,,工作台路由耗时观测与诊断端点,路由耗时P50/P95告警指标,时序监测点/日志事件记录,路由诊断事件,,信息技术（后端可观测性）,cn-all-remaining-0493-755ec260,
apm-observability,服务指标与日志可观测,Datadog / Grafana,5,3/3,,零售订单平台跨可用区容灾架构评审与迁移规划,服务组件+指标+事故,设备/资产台账+维护记录,组件资产与依赖/事故记录,,信息技术与AI、数字技术架构师,cn-all-remaining-0676-ae727883,
apm-observability,服务指标与日志可观测,Datadog / Grafana,6,3/3,,东城片区5G无线网扩容与优化优先级评估,小区KPI指标+告警式评分,时序监测点/日志事件记录,5G小区KPI/路测/投诉记录,,行业研究、通信工程师,cn-all-remaining-0770-159164f2,
apm-observability,服务指标与日志可观测,Datadog / Grafana,7,3/3,,5G NR园区路测KPI分析、切换根因定位与优化闭环,KPI指标+告警事件关联,时序监测点/日志事件记录,路测KPI与告警记录,,工程类、通信工程师,cn-all-remaining-0828-6335c106,
apm-observability,服务指标与日志可观测,Datadog / Grafana,8,3/3,,大型会展中心5G室内分布系统覆盖、切换、容量与故障回退联合验收及商用开通判定,小区KPI告警类APM,时序监测点/日志事件记录,路测/切换/KPI记录,,工程类、通信工程师,cn-all-remaining-0943-467f2a4f,
materials-database,材料结构与性质库,Materials Project,1,2/2,,负热膨胀材料异构结构字段标准化与数据质量审计程序,材料结构CIF/张量记录,可检索档案库+详情页,材料结构记录(化学式/弹性张量/CIF-POSCAR),,材料科学研究人员,cn-all-remaining-0157-48c5ea38,
materials-database,材料结构与性质库,Materials Project,2,2/2,,负热膨胀材料多条件检索与稳定分页 API,材料检索分页API,可检索档案库+详情页,负热膨胀材料记录,,材料科学研究人员,cn-all-remaining-0162-c827b242,建站反馈：输入是 records.json/rules.json 夹具，任务本身即契约校验；做成界面会把题毁掉，无站可建，disposition: file
materials-database,材料结构与性质库,Materials Project,3,2/2,,负热膨胀材料详情数据契约与结构文件安全导出服务,材料详情结构文件导出,可检索档案库+详情页,材料详情与结构文件记录,,材料科学研究人员,cn-all-remaining-0165-b35850c6,
materials-database,材料结构与性质库,Materials Project,4,2/2,,负热膨胀材料数据库交互式可视化网站,材料列表详情可视化站,可检索档案库+详情页,材料属性数据库条目,,材料科学研究人员,cn-all-remaining-0170-55cf9dab,
materials-database,材料结构与性质库,Materials Project,5,2/2,,NASA–ESA 系外行星星历、宿主星天体测量与多系统观测就绪审计,按参数检索+行星详情页下载,单表统计/观测数据下载门户,系外行星与宿主星参数记录,NASA Exoplanet Archive (Planetary Systems table),天文学 / 科研数据治理 / 系,cn-all-remaining-1146-6532ab9d,
materials-database,材料结构与性质库,Materials Project,6,2/3,gov-statistics-portal,AME2016—AME2020 Ca/Ni/Sn 核质量系统学重建、壳隙复核与版本更新审计,核素按元素查性质表,单表统计/观测数据下载门户,核素质量条目,IAEA/AMDC,物理类、核物理研究员（核结构/核,cn-all-remaining-1112-88167b19,
materials-database,材料结构与性质库,Materials Project,7,2/3,dataset-repository,面向计算材料物理的 MEGNet 预训练推理与论文复现边界审计,晶体CIF+分子结构性质,,QM9 (Quantum Machine分子数据集),QM9,物理学家,cn-all-remaining-0103-2b1a2190,
materials-database,材料结构与性质库,Materials Project,8,3/3,,NASA CNEOS Sentry to SBDB top-risk identity and orbit audit,小天体轨道详情页+下载,可检索档案库+详情页,小天体轨道/风险记录,JPL Small-Body Database (SBDB),Planetary defens,cn-all-remaining-1222-8580dbde,
ehr-patient-record,病历与受试者档案,Epic / OpenClinica,1,2/3,back-office-ledger,大班户外自主游戏观察数据复核、教研分析与10月调整方案,主体档案+观察时间线,主体档案+关联事件时间线,类Brightwheel/ChildPlus早教观察记录系统,,    教育与培训-幼儿教师  ,cn-all-remaining-0671-060dc9bc,
ehr-patient-record,病历与受试者档案,Epic / OpenClinica,2,3/3,,基于WHO/ISH 2019模型的 CVD风险评估与分级管理,患者筛查+风险分级,可检索档案库+详情页,体检患者健康筛查记录,World Health Organization / International Society of Hypertension (WHO/ISH),医疗卫生 — 临床预防医学与心血,cn-all-remaining-0228-930473c4,
ehr-patient-record,病历与受试者档案,Epic / OpenClinica,3,3/3,,腹腔镜胆囊切除术围术期质控规则回归、异常定位与月度质控放行核验,病历访视+结果时间线,主体档案+关联事件时间线,围术期病例台账记录,,医疗卫生、外科医师、围术期质量控,cn-all-remaining-0400-2d892a5f,
ehr-patient-record,病历与受试者档案,Epic / OpenClinica,4,3/3,,结直肠外科月度手术质量复盘：并发症分级、吻合口漏与数据核验,病例+并发症时间线,主体档案+关联事件时间线,手术病例质控记录,,医疗卫生、外科医师（普通外科/胃,cn-all-remaining-0792-a46854a7,
ehr-patient-record,病历与受试者档案,Epic / OpenClinica,5,3/3,,住院抗菌药物医嘱专项点评与药师干预清单生成,患者医嘱检验时间线,主体档案+关联事件时间线,患者医嘱与检验记录,HIS,医疗卫生、药学专业人员,cn-all-remaining-0802-f5452942,
ehr-patient-record,病历与受试者档案,Epic / OpenClinica,6,3/3,,企业职工年度体检数据质控、风险分层与90天随访排程,员工体检结果+随访时间线,主体档案+关联事件时间线,员工体检记录,,医疗健康、健康管理服务人员、健康,cn-all-remaining-0823-2981b536,
ehr-patient-record,病历与受试者档案,Epic / OpenClinica,7,3/3,,综合内科复杂共病患者多源出院审核、医嘱重构与患者指导,住院病历出院医嘱审核,主体档案+关联事件时间线,医院电子病历系统(类Epic HIS/EMR),,医疗卫生-内科医师,cn-all-remaining-0690-eac11bf7,
ehr-patient-record,病历与受试者档案,Epic / OpenClinica,8,3/3,,独居高龄老人30天居家养老服务配置与风险闭环管理,评估+用药+访视时间线,主体档案+关联事件时间线,居家养老服务管理系统(CRM/病例管理类),,医疗健康、养老服务、养老顾问,cn-all-remaining-0825-ce14f4a1,
payment-reconciliation,支付对账与清结算,Adyen / 支付宝商家后台,1,2/3,order-management,跨境电商进口税费核验对账与发布封板审计,订单税费对账流水,订单/交易/支付/退款/物流流水,跨境电商订单记录,, 海关与税务合规,cn-all-remaining-0972-58036ef4,
payment-reconciliation,支付对账与清结算,Adyen / 支付宝商家后台,2,2/3,order-management,酒店预订结算核验对账与发布封板审计,预订结算对账流水,可检索档案库+详情页,酒店预订记录,,酒店 / 住宿,cn-all-remaining-0973-7a1c435c,
payment-reconciliation,支付对账与清结算,Adyen / 支付宝商家后台,3,3/3,,跨境银行卡支付生命周期回放、清算净额与流动性修复计划复核,跨境支付清算对账,订单/交易/支付/退款/物流流水,跨境支付事件/交易记录,,金融与证券—金融科技师,cn-all-remaining-0669-c5296d6d,
payment-reconciliation,支付对账与清结算,Adyen / 支付宝商家后台,4,3/3,,场外基金交易日终三方对账与异常工单生成,订单/TA/支付三方对账,订单/交易/支付/退款/物流流水,内部订单/TA确认/支付流水记录,,金融与证券、金融科技师,cn-all-remaining-0814-762c2157,
payment-reconciliation,支付对账与清结算,Adyen / 支付宝商家后台,5,3/3,,跨境物流运费结算对账与发布封板复核,运费结算对账流水,订单/交易/支付/退款/物流流水,发货结算记录,,跨境电商物流,cn-all-remaining-0966-56d245f7,
payment-reconciliation,支付对账与清结算,Adyen / 支付宝商家后台,6,3/3,,电信话单(CDR)批价对账与发布封板复核,话单计费对账流水,订单/交易/支付/退款/物流流水,话单记录,, 计费结算工程,cn-all-remaining-0967-40ec7019,
payment-reconciliation,支付对账与清结算,Adyen / 支付宝商家后台,7,3/3,,电力账单核验对账与发布封板审计,电费账单对账流水,订单/交易/支付/退款/物流流水,用电账单记录,,计费与电价工程,cn-all-remaining-0969-6df0820b,
payment-reconciliation,支付对账与清结算,Adyen / 支付宝商家后台,8,3/3,,物业费核验对账与发布封板审计,物业费对账流水,可检索档案库+详情页,物业账单记录,,物业管理 / 房地产,cn-all-remaining-0974-4790d8bf,
game-liveops-console,游戏运营后台,自研 GM/运营后台,1,2/3,process-historian,v0.9.8 新手主线提测前关卡断层修复与7日养成回算,关卡配置+压测资源账本,时序监测点/日志事件记录,游戏数值配置/压测分析后台,,游戏研发、数值策划,cn-all-remaining-0710-717396c6,
game-liveops-console,游戏运营后台,自研 GM/运营后台,2,2/3,process-historian,《夜航》ECON v2.3新服主队养成曲线回算、配置改表与上线门槛校核,经济配置+玩家资源快照,时序监测点/日志事件记录,游戏经济数值配置后台,,游戏研发、系统策划（数值/经济）,cn-all-remaining-0711-c6482f8e,
game-liveops-console,游戏运营后台,自研 GM/运营后台,3,3/3,,    手游限时活动奖励、兑换商店与经济闭环自动化回归审计    ,活动发奖道具账本,时序监测点/日志事件记录,玩家活动行为与发奖原始记录,,    游戏与互动内容、游戏自动,cn-all-remaining-0328-9e64a75f,
game-liveops-console,游戏运营后台,自研 GM/运营后台,4,3/3,,跨服公会战房间状态一致性、掉线重连与奖励结算幂等联合回归及上线判定,战斗日志与结算账本,时序监测点/日志事件记录,游戏服务端运营后台(战斗日志/结算账本查询),,游戏与互动内容、游戏服务端开发工,cn-all-remaining-0826-269c7767,
game-liveops-console,游戏运营后台,自研 GM/运营后台,5,3/3,,跨服赛季排行榜结算、并列排名与幂等奖励发放,排行榜结算+账本对账,订单/交易/支付/退款/物流流水,游戏赛季结算/排行榜与账本系统,,游戏与互动内容、游戏服务端开发工,cn-all-remaining-0947-03516a1f,
game-liveops-console,游戏运营后台,自研 GM/运营后台,6,人工改判,lims,手游限时卡池保底、重复转化与幂等结算回放核验,测试向量批次结果行比对质控,批次-样品-检验/QC记录(LIMS/MES),游戏服务端GM/运营管理后台,,    游戏与互动内容、游戏服务,cn-all-remaining-0403-f1abed95,lims→game-liveops-console：卡池结算回放属游戏 GM/运营后台
procurement-sourcing,采购与供应商管理,Coupa / 用友采购云,1,2/3,audit-findings,基于脱敏企业产品台账的出口管制暴露识别与供应链风险分级。,产品台账供应商交易,企业运营台账(CRM/合同/采购/项目/库存),企业产品台账/供应商交易记录,,国际政治经济学,cn-all-remaining-0020-aa2698d8,
procurement-sourcing,采购与供应商管理,Coupa / 用友采购云,2,2/3,audit-findings,供应商协同平台 Web/API 安全测试与整改复测,供应商SRM审批平台,工单/缺陷/客服/审批跟踪,企业供应商协同SaaS(类SRM审批平台),,信息技术与AI、信息安全测试,cn-all-remaining-0672-1ff18f83,
procurement-sourcing,采购与供应商管理,Coupa / 用友采购云,3,3/3,,长三角城市更新建筑设计市场机会评估与重点客户研究,公开招采公告列表,招聘/公告类列表,招采/政府采购项目机会公告,,建筑设计、行业研究,cn-all-remaining-0406-6b719b00,
procurement-sourcing,采购与供应商管理,Coupa / 用友采购云,4,3/3,,电脑配件采购清单规范化,采购项预算核验清单,企业运营台账(CRM/合同/采购/项目/库存),采购项,,采购运营,cn-all-remaining-0494-1a9218c7,
procurement-sourcing,采购与供应商管理,Coupa / 用友采购云,5,3/3,,采购辅助评审触发与评分契约,采购评审案例台账,企业运营台账(CRM/合同/采购/项目/库存),采购评审案例(含投标数与评分),,采购评审系统,cn-all-remaining-0622-f1aaea49,
procurement-sourcing,采购与供应商管理,Coupa / 用友采购云,6,3/3,,2026Q4华东区域干线招标定标、运力分配与旺季保供校核,承运商报价定标询比价,订单/交易/支付/退款/物流流水,承运商报价/线路履约记录,,企业经营与战略决策、物流运营,cn-all-remaining-0875-4793042e,
clinical-trial-edc,临床试验数据采集 EDC,Medidata Rave,1,2/2,,CT-HTN-301中心C0201监查前多源数据清理、偏离识别与闭环,IRT/EDC受试者访视数据,主体档案+关联事件时间线,受试者访视/样本/质疑记录,IRT,医疗卫生、临床协调员,cn-all-remaining-0696-91bc054f,
clinical-trial-edc,临床试验数据采集 EDC,Medidata Rave,2,2/3,insurance-claims,上市后多来源安全信息批量分诊、重复病例合并与E2B R3加速报告生成,病例SAE与质疑管理近似,可检索档案库+详情页,上市后安全个例病例(ICSR),,医疗卫生、药物警戒专员（上市后个,cn-all-remaining-0952-e3358bdf,
clinical-trial-edc,临床试验数据采集 EDC,Medidata Rave,3,3/3,,CSR定稿前交叉设计BE统计独立复核,受试者+给药+CRF,主体档案+关联事件时间线,受试者给药与浓度记录,,药学专业人员,cn-all-remaining-0222-930d164f,
clinical-trial-edc,临床试验数据采集 EDC,Medidata Rave,4,3/3,,III期临床试验中期数据库冻结前多源数据清理、SAE/实验室对账与中心行动闭环,受试者/SAE/质疑管理,主体档案+关联事件时间线,受试者/访视/SAE记录,,医疗卫生、制药企业临床运营部临床,cn-all-remaining-0708-9b5c804a,
clinical-trial-edc,临床试验数据采集 EDC,Medidata Rave,5,人工改判,dataset-repository,乳腺癌生存风险预测,GBSG2研究队列数据,数据集/资料仓库详情页,German Breast Cancer Study Group 2 (GBSG2),German Breast Cancer Study Group 2,医学数据科学,cn-all-remaining-0272-eaf429b6,dataset-repository→clinical-trial-edc：GBSG2 临床队列
inventory-wms,库存与仓储台账,旺店通 / NetSuite WMS,1,2/2,,医药冷链多仓订单履约、FEFO库存分配与N-1韧性优化,批次库存订单履约,订单/交易/支付/退款/物流流水,订单与批次库存,,企业经营与战略决策、物流运营,cn-all-remaining-0420-dc253cc1,
inventory-wms,库存与仓储台账,旺店通 / NetSuite WMS,2,3/3,,多仓库存盘点差异复核与关账调整建议,库存台账+盘点差异,企业运营台账(CRM/合同/采购/项目/库存),仓库-SKU库存与盘点记录,,    企业经营与战略决策、物流,cn-all-remaining-0405-37b50b73,
